epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.474,0.96806,2.77816,1.28051,0.66447,0.57779,0.62425,0.4379,0.97119,1.92814,1.24568,0.000138612,0.000138612,0.000138612
2,200.079,1.03683,1.94452,1.33999,0.60929,0.56594,0.58096,0.38974,1.04873,1.8999,1.31721,0.000274176,0.000274176,0.000274176
3,296.361,1.07382,1.88715,1.35684,0.62247,0.53877,0.57248,0.36852,1.15648,1.87305,1.42471,0.000406301,0.000406301,0.000406301
4,392.067,1.07753,1.80478,1.35735,0.59811,0.53516,0.568,0.37088,1.13931,1.79221,1.37821,0.000401519,0.000401519,0.000401519
5,487.89,1.06084,1.70442,1.34526,0.6447,0.53553,0.58126,0.38302,1.14271,1.75331,1.39401,0.000396358,0.000396358,0.000396358
6,584.024,1.04413,1.63254,1.33137,0.64441,0.56785,0.60911,0.40338,1.10177,1.59703,1.34705,0.000391198,0.000391198,0.000391198
7,679.988,1.02328,1.56801,1.32224,0.66873,0.55392,0.60645,0.40333,1.11837,1.5802,1.36232,0.000386038,0.000386038,0.000386038
8,776.499,1.0257,1.52951,1.32105,0.65678,0.56041,0.61238,0.41724,1.06653,1.48041,1.33041,0.000380877,0.000380877,0.000380877
9,873.044,1.01433,1.4668,1.30696,0.67073,0.57739,0.62022,0.424,1.06641,1.47565,1.31636,0.000375717,0.000375717,0.000375717
10,971.108,0.9962,1.42251,1.29429,0.71846,0.59098,0.65638,0.45002,1.05185,1.33604,1.31128,0.000370557,0.000370557,0.000370557
11,1069.46,0.99481,1.39087,1.29571,0.70311,0.57766,0.64331,0.4362,1.07447,1.39366,1.31722,0.000365396,0.000365396,0.000365396
12,1167.71,0.98739,1.3666,1.28948,0.69184,0.59629,0.65233,0.45108,1.06153,1.33171,1.32375,0.000360236,0.000360236,0.000360236
13,1265.83,0.98366,1.3354,1.28651,0.69418,0.59605,0.65244,0.448,1.06713,1.31917,1.31436,0.000355076,0.000355076,0.000355076
14,1364.03,0.97059,1.31181,1.28054,0.70758,0.60399,0.65575,0.45058,1.06216,1.28672,1.31285,0.000349915,0.000349915,0.000349915
15,1462.39,0.96613,1.29043,1.27099,0.7077,0.60791,0.66926,0.46498,1.03558,1.25636,1.29575,0.000344755,0.000344755,0.000344755
16,1560.48,0.96793,1.26656,1.27566,0.70549,0.61208,0.67119,0.46774,1.05187,1.23578,1.29784,0.000339594,0.000339594,0.000339594
17,1659.56,0.93785,1.22869,1.2536,0.70238,0.60443,0.66752,0.46462,1.0479,1.24216,1.31062,0.000334434,0.000334434,0.000334434
18,1757.74,0.95194,1.23172,1.25872,0.72007,0.61876,0.67753,0.47209,1.03936,1.22666,1.29045,0.000329274,0.000329274,0.000329274
19,1855.48,0.93568,1.20669,1.25254,0.73546,0.60751,0.68071,0.47842,1.03152,1.20992,1.29373,0.000324113,0.000324113,0.000324113
20,1953.37,0.93134,1.18981,1.2417,0.72757,0.62112,0.68767,0.48274,1.02988,1.17313,1.28203,0.000318953,0.000318953,0.000318953
21,2051.2,0.92473,1.18276,1.24669,0.72212,0.61138,0.67115,0.46657,1.0368,1.18913,1.29155,0.000313792,0.000313792,0.000313792
22,2148.64,0.91971,1.16317,1.23781,0.72371,0.6315,0.69125,0.48984,1.0094,1.16575,1.27229,0.000308632,0.000308632,0.000308632
23,2246.24,0.90749,1.12091,1.22735,0.73745,0.63362,0.70107,0.49269,1.02235,1.14765,1.28102,0.000303472,0.000303472,0.000303472
24,2343.22,0.89995,1.12818,1.22786,0.73159,0.63806,0.69569,0.49254,1.01201,1.1398,1.27713,0.000298311,0.000298311,0.000298311
25,2440.37,0.91293,1.12042,1.23129,0.73814,0.63526,0.70059,0.49385,1.01662,1.13773,1.27023,0.000293151,0.000293151,0.000293151
26,2539.09,0.89803,1.1012,1.21982,0.7413,0.6267,0.69459,0.48687,1.02817,1.13265,1.28974,0.000287991,0.000287991,0.000287991
27,2635.83,0.89945,1.09631,1.22552,0.75138,0.62566,0.6994,0.49545,1.01025,1.1047,1.27658,0.00028283,0.00028283,0.00028283
28,2733.02,0.88453,1.06487,1.2138,0.73571,0.63342,0.69703,0.49713,1.00508,1.12336,1.27322,0.00027767,0.00027767,0.00027767
29,2829.96,0.88774,1.06339,1.21645,0.74214,0.65211,0.70992,0.50469,1.00969,1.09914,1.27204,0.000272509,0.000272509,0.000272509
30,2926.97,0.87814,1.05222,1.20938,0.74543,0.63216,0.70166,0.50263,1.00657,1.11321,1.27303,0.000267349,0.000267349,0.000267349
31,3024.05,0.87653,1.04125,1.20653,0.76699,0.63302,0.71399,0.50952,0.99391,1.08046,1.26189,0.000262189,0.000262189,0.000262189
32,3120.88,0.86311,1.02616,1.19985,0.74345,0.65066,0.71176,0.50635,1.00663,1.08069,1.26783,0.000257028,0.000257028,0.000257028
33,3218.35,0.86064,1.0119,1.19789,0.75929,0.64414,0.71153,0.51156,0.99421,1.07758,1.26417,0.000251868,0.000251868,0.000251868
34,3315.51,0.86365,1.01076,1.19488,0.76221,0.64598,0.71566,0.51135,1.00185,1.06709,1.26965,0.000246708,0.000246708,0.000246708
35,3414.6,0.85517,0.99782,1.1936,0.75226,0.64357,0.71108,0.50951,0.99166,1.07436,1.25716,0.000241547,0.000241547,0.000241547
36,3512.37,0.84857,0.97806,1.18659,0.76861,0.62541,0.70085,0.50288,0.99674,1.08022,1.26469,0.000236387,0.000236387,0.000236387
37,3610.94,0.84702,0.98115,1.18878,0.74876,0.64896,0.70809,0.50846,0.99155,1.06276,1.26276,0.000231226,0.000231226,0.000231226
38,3708.97,0.84921,0.96005,1.18434,0.75463,0.64928,0.71391,0.51338,0.98931,1.05252,1.25515,0.000226066,0.000226066,0.000226066
39,3812.77,0.83395,0.94873,1.1767,0.76008,0.65373,0.71522,0.51164,0.99117,1.04213,1.26143,0.000220906,0.000220906,0.000220906
40,3910.78,0.84575,0.96136,1.18283,0.76331,0.64477,0.7189,0.51549,0.98898,1.04781,1.25063,0.000215745,0.000215745,0.000215745
41,4011.78,0.82998,0.93367,1.16897,0.7736,0.65045,0.72073,0.5209,0.98912,1.04549,1.25958,0.000210585,0.000210585,0.000210585
42,4109.44,0.8274,0.9331,1.17062,0.76305,0.65581,0.7218,0.52465,0.98303,1.02599,1.2497,0.000205425,0.000205425,0.000205425
43,4207.18,0.82584,0.9177,1.16893,0.77344,0.65189,0.72525,0.52677,0.97435,1.02815,1.24868,0.000200264,0.000200264,0.000200264
44,4305.06,0.82895,0.90814,1.16506,0.78038,0.65632,0.72913,0.52719,0.98201,1.01087,1.24586,0.000195104,0.000195104,0.000195104
45,4403.21,0.81302,0.90361,1.16025,0.76137,0.65718,0.72163,0.52215,0.97419,1.02709,1.24526,0.000189943,0.000189943,0.000189943
46,4502.12,0.82031,0.90917,1.16601,0.76422,0.66285,0.72757,0.52644,0.97655,1.01358,1.24731,0.000184783,0.000184783,0.000184783
47,4605.11,0.81231,0.89312,1.1596,0.7763,0.64998,0.72752,0.52733,0.97571,1.00827,1.24516,0.000179623,0.000179623,0.000179623
48,4703.01,0.80813,0.88007,1.15825,0.77941,0.64876,0.7256,0.52911,0.97576,1.00669,1.24592,0.000174462,0.000174462,0.000174462
49,4799.07,0.81057,0.88139,1.15472,0.76785,0.66384,0.72796,0.52818,0.97937,1.00666,1.25076,0.000169302,0.000169302,0.000169302
50,4895.61,0.80069,0.86438,1.14978,0.80005,0.6463,0.7318,0.53147,0.97649,1.00314,1.24711,0.000164142,0.000164142,0.000164142
51,4992.45,0.79415,0.8576,1.14561,0.77492,0.66367,0.73125,0.52997,0.973,0.9992,1.24393,0.000158981,0.000158981,0.000158981
52,5088.86,0.79233,0.84938,1.14492,0.77015,0.66613,0.7321,0.53032,0.97777,0.99599,1.24999,0.000153821,0.000153821,0.000153821
53,5184.95,0.78778,0.84195,1.14189,0.76328,0.66593,0.72754,0.52732,0.97922,0.9988,1.252,0.00014866,0.00014866,0.00014866
54,5283.51,0.7864,0.82989,1.1365,0.76612,0.66682,0.73008,0.53048,0.98047,0.98806,1.24755,0.0001435,0.0001435,0.0001435
55,5379.61,0.78361,0.83663,1.13903,0.77766,0.66174,0.72928,0.53044,0.97648,0.98853,1.24666,0.00013834,0.00013834,0.00013834
56,5475.66,0.78005,0.82769,1.13714,0.7614,0.67878,0.73065,0.53177,0.97414,0.99068,1.24288,0.000133179,0.000133179,0.000133179
57,5571.92,0.77757,0.82439,1.134,0.7708,0.66406,0.73025,0.53056,0.98045,0.9853,1.25215,0.000128019,0.000128019,0.000128019
58,5668.36,0.76961,0.80438,1.12665,0.77762,0.67082,0.73511,0.5358,0.96781,0.97656,1.24674,0.000122859,0.000122859,0.000122859
59,5766.72,0.76992,0.80934,1.1292,0.78609,0.6584,0.72916,0.53013,0.97673,0.98246,1.24798,0.000117698,0.000117698,0.000117698
60,5862.79,0.7684,0.8061,1.13041,0.77466,0.6711,0.73642,0.53659,0.97018,0.97346,1.2445,0.000112538,0.000112538,0.000112538
61,5959.22,0.76288,0.78923,1.12894,0.77328,0.66972,0.73462,0.53365,0.9789,0.98846,1.24886,0.000107378,0.000107378,0.000107378
62,6055.41,0.76353,0.78464,1.12502,0.78386,0.66504,0.7345,0.53581,0.97027,0.98063,1.24076,0.000102217,0.000102217,0.000102217
63,6152.48,0.76307,0.79134,1.12638,0.7702,0.67418,0.73383,0.53456,0.97271,0.97669,1.24032,9.70567e-05,9.70567e-05,9.70567e-05
64,6248.95,0.75799,0.78427,1.11912,0.79,0.66117,0.73757,0.53908,0.96496,0.97101,1.24085,9.18964e-05,9.18964e-05,9.18964e-05
65,6345.3,0.74954,0.76985,1.1179,0.77088,0.67818,0.7361,0.53809,0.96679,0.97497,1.24356,8.6736e-05,8.6736e-05,8.6736e-05
66,6443.41,0.74597,0.76689,1.11256,0.77181,0.6723,0.73474,0.53695,0.96448,0.98028,1.24012,8.15756e-05,8.15756e-05,8.15756e-05
67,6544.6,0.73997,0.75372,1.11134,0.77522,0.66663,0.73542,0.53814,0.9633,0.97472,1.24034,7.64153e-05,7.64153e-05,7.64153e-05
68,6640.77,0.73898,0.75531,1.11164,0.77461,0.66915,0.73876,0.54106,0.96063,0.96699,1.23875,7.12549e-05,7.12549e-05,7.12549e-05
69,6739.44,0.7424,0.74707,1.11159,0.76653,0.6775,0.73763,0.54256,0.95709,0.9684,1.2376,6.60945e-05,6.60945e-05,6.60945e-05
70,6837.54,0.73265,0.74332,1.10887,0.78934,0.66668,0.73747,0.54169,0.95952,0.96457,1.23674,6.09341e-05,6.09341e-05,6.09341e-05
71,112.869,0.68848,0.5984,1.0669,0.7697,0.66157,0.72985,0.53326,0.96695,0.97999,1.24775,5.57738e-05,5.57738e-05,5.57738e-05
72,207.035,0.67417,0.56976,1.0557,0.76184,0.66751,0.7291,0.53575,0.96425,0.98135,1.2471,5.06134e-05,5.06134e-05,5.06134e-05
73,303.18,0.66276,0.54959,1.04451,0.75307,0.67433,0.72839,0.53542,0.96269,0.98259,1.24568,4.5453e-05,4.5453e-05,4.5453e-05
74,397.894,0.65481,0.5448,1.03954,0.77465,0.66308,0.72941,0.53681,0.96176,0.98213,1.24658,4.02926e-05,4.02926e-05,4.02926e-05
75,491.434,0.65099,0.53621,1.03699,0.77732,0.65707,0.73048,0.53753,0.96054,0.97862,1.24579,3.51322e-05,3.51322e-05,3.51322e-05
76,584.947,0.65141,0.53447,1.03821,0.76888,0.66751,0.73205,0.53779,0.95709,0.97491,1.24207,2.99719e-05,2.99719e-05,2.99719e-05
77,679.363,0.64124,0.52687,1.02836,0.77633,0.66614,0.73544,0.54063,0.95607,0.96772,1.24218,2.48115e-05,2.48115e-05,2.48115e-05
78,772.978,0.63636,0.52287,1.02472,0.77231,0.66986,0.73462,0.53974,0.95762,0.9715,1.2419,1.96511e-05,1.96511e-05,1.96511e-05
79,867.327,0.63479,0.51749,1.02814,0.76863,0.67386,0.73425,0.54039,0.9576,0.97055,1.24483,1.44908e-05,1.44908e-05,1.44908e-05
80,961.313,0.6377,0.52203,1.0245,0.7784,0.6686,0.7343,0.54133,0.95737,0.97172,1.24551,9.33037e-06,9.33037e-06,9.33037e-06
