epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.628,0.95029,1.82507,1.30272,0.6225,0.55434,0.58315,0.3913,1.01604,1.53515,1.30973,0.000138903,0.000138903,0.000138903
2,981.213,1.11166,1.8812,1.4414,0.51567,0.50954,0.49004,0.30584,1.18251,1.71135,1.4844,0.000274464,0.000274464,0.000274464
3,1418.54,1.17135,1.94569,1.49662,0.50767,0.47056,0.44894,0.28074,1.20219,1.75733,1.50282,0.000406584,0.000406584,0.000406584
4,1853.94,1.17394,1.94828,1.50741,0.58284,0.49597,0.51628,0.33767,1.16468,1.62224,1.48808,0.000401519,0.000401519,0.000401519
5,2289.37,1.13064,1.8317,1.47341,0.60073,0.55209,0.5616,0.36876,1.12847,1.47252,1.42943,0.000396358,0.000396358,0.000396358
6,2724.85,1.09845,1.70291,1.44322,0.61202,0.53502,0.56374,0.37463,1.10511,1.46802,1.4271,0.000391198,0.000391198,0.000391198
7,3160.73,1.08593,1.67166,1.43688,0.62422,0.54157,0.585,0.39388,1.09406,1.44637,1.4052,0.000386038,0.000386038,0.000386038
8,3596.4,1.05132,1.57702,1.41002,0.647,0.55876,0.60899,0.41545,1.06306,1.38499,1.38189,0.000380877,0.000380877,0.000380877
9,4031.82,1.0173,1.49911,1.38777,0.65548,0.5775,0.62033,0.42612,1.05648,1.30768,1.38651,0.000375717,0.000375717,0.000375717
10,4467.05,1.01329,1.47145,1.38435,0.6989,0.59722,0.65641,0.45967,1.02141,1.21544,1.35868,0.000370557,0.000370557,0.000370557
11,4903.44,0.99382,1.42433,1.3752,0.70436,0.61336,0.66645,0.46427,1.00564,1.18855,1.34373,0.000365396,0.000365396,0.000365396
12,5338.62,0.96727,1.36976,1.35053,0.70574,0.60175,0.65998,0.46403,0.99674,1.1856,1.32735,0.000360236,0.000360236,0.000360236
13,5784.59,0.95993,1.32399,1.3404,0.69724,0.62114,0.67633,0.47578,0.99793,1.14943,1.34218,0.000355076,0.000355076,0.000355076
14,6226.05,0.93752,1.29207,1.32528,0.70012,0.61318,0.67782,0.48402,0.97838,1.12341,1.31554,0.000349915,0.000349915,0.000349915
15,6658.78,0.92787,1.24716,1.32386,0.72179,0.63156,0.69095,0.49033,0.98618,1.11702,1.32457,0.000344755,0.000344755,0.000344755
